clin values
-1.528528528528528552e-01 2.257173782477694957e-01
-1.522522522522522515e-01 2.358540107755624782e-01
-1.516516516516516477e-01 2.463689748527308487e-01
-1.510510510510510440e-01 2.572724299855442265e-01
-1.504504504504504403e-01 2.685746152974529122e-01
-1.498498498498498366e-01 2.802858399944566647e-01
-1.492492492492492329e-01 2.924164732984114168e-01
-1.486486486486486569e-01 3.049769338441460920e-01
-1.480480480480480532e-01 3.179776785373007453e-01
-1.474474474474474495e-01 3.314291908708307255e-01
-1.468468468468468457e-01 3.453419686992883486e-01
-1.462462462462462420e-01 3.597265114711127310e-01
-1.456456456456456383e-01 3.745933069204195887e-01
-1.450450450450450346e-01 3.899528172210208199e-01
-1.444444444444444309e-01 4.058154646067352322e-01
-1.438438438438438272e-01 4.221916164633988111e-01
-1.432432432432432512e-01 4.390915698993870797e-01
-1.426426426426426475e-01 4.565255358029041699e-01
-1.420420420420420438e-01 4.745036223957596611e-01
-1.414414414414414400e-01 4.930358182948820778e-01
-1.408408408408408363e-01 5.121319750943555960e-01
-1.402402402402402326e-01 5.318017894823303671e-01
-1.396396396396396289e-01 5.520547849087681369e-01
-1.390390390390390252e-01 5.729002928216040402e-01
-1.384384384384384215e-01 5.943474334905305412e-01
-1.378378378378378455e-01 6.164050964392794318e-01
-1.372372372372372418e-01 6.390819205089294242e-01
-1.366366366366366381e-01 6.623862735764298737e-01
-1.360360360360360343e-01 6.863262319542156042e-01
-1.354354354354354306e-01 7.109095594984429223e-01
-1.348348348348348269e-01 7.361436864550205961e-01
-1.342342342342342232e-01 7.620356880742834571e-01
-1.336336336336336195e-01 7.885922630267429012e-01
-1.330330330330330157e-01 8.158197116539762650e-01
-1.324324324324324398e-01 8.437239140902706991e-01
-1.318318318318318361e-01 8.723103082921797036e-01
-1.312312312312312323e-01 9.015838680146252004e-01
-1.306306306306306286e-01 9.315490807736618306e-01
-1.300300300300300249e-01 9.622099258373718600e-01
-1.294294294294294212e-01 9.935698522877227656e-01
-1.288288288288288175e-01 1.025631757197486005e+00
-1.282282282282282138e-01 1.058397963967507627e+00
-1.276276276276276378e-01 1.091870200870769247e+00
-1.270270270270270341e-01 1.126049579850709081e+00
-1.264264264264264304e-01 1.160936575622221190e+00
-1.258258258258258266e-01 1.196531005124665814e+00
-1.252252252252252229e-01 1.232832007376932548e+00
-1.246246246246246192e-01 1.269838023785314407e+00
-1.240240240240240155e-01 1.307546778955480660e+00
-1.234234234234234118e-01 1.345955262060302804e+00
-1.228228228228228081e-01 1.385059708815604695e+00
-1.222222222222222321e-01 1.424855584116116791e+00
-1.216216216216216284e-01 1.465337565384016827e+00
-1.210210210210210247e-01 1.506499526682331780e+00
-1.204204204204204209e-01 1.548334523645384486e+00
-1.198198198198198172e-01 1.590834779278055278e+00
-1.192192192192192135e-01 1.633991670675238206e+00
-1.186186186186186098e-01 1.677795716712219498e+00
-1.180180180180180061e-01 1.722236566755995124e+00
-1.174174174174174023e-01 1.767302990446624644e+00
-1.168168168168168264e-01 1.812982868596679342e+00
-1.162162162162162227e-01 1.859263185255679574e+00
-1.156156156156156189e-01 1.906130020984987405e+00
-1.150150150150150152e-01 1.953568547387263488e+00
-1.144144144144144115e-01 2.001563022932813407e+00
-1.138138138138138078e-01 2.050096790123455026e+00
-1.132132132132132041e-01 2.099152274032543453e+00
-1.126126126126126004e-01 2.148710982257733271e+00
-1.120120120120119966e-01 2.198753506320822115e+00
-1.114114114114114207e-01 2.249259524546624700e+00
-1.108108108108108170e-01 2.300207806450372594e+00
-1.102102102102102132e-01 2.351576218660415218e+00
-1.096096096096096095e-01 2.403341732400317454e+00
-1.090090090090090058e-01 2.455480432551478298e+00
-1.084084084084084021e-01 2.507967528314418271e+00
-1.078078078078077984e-01 2.560777365483756451e+00
-1.072072072072071947e-01 2.613883440348645504e+00
-1.066066066066065909e-01 2.667258415227118373e+00
-1.060060060060060150e-01 2.720874135639365754e+00
-1.054054054054054113e-01 2.774701649121457336e+00
-1.048048048048048075e-01 2.828711225677408514e+00
-1.042042042042042038e-01 2.882872379863891776e+00
-1.036036036036036001e-01 2.937153894498119477e+00
-1.030030030030029964e-01 2.991523845975690765e+00
-1.024024024024023927e-01 3.045949631181391393e+00
-1.018018018018017889e-01 3.100397995972095977e+00
-1.012012012012011852e-01 3.154835065207055145e+00
-1.006006006006006093e-01 3.209226374297025952e+00
-1.000000000000000056e-01 3.263536902239790649e+00
-9.939939939939940183e-02 3.317731106105795913e+00
-9.879879879879879812e-02 3.371772956933822396e+00
-9.819819819819819440e-02 3.425625976992779709e+00
-9.759759759759759068e-02 3.479253278361990720e+00
-9.699699699699698696e-02 3.532617602778657773e+00
-9.639639639639638324e-02 3.585681362697561436e+00
-9.579579579579580728e-02 3.638406683504511019e+00
-9.519519519519520356e-02 3.690755446821667896e+00
-9.459459459459459985e-02 3.742689334839411242e+00
-9.399399399399399613e-02 3.794169875606332454e+00
-9.339339339339339241e-02 3.845158489205722230e+00
-9.279279279279278869e-02 3.895616534743997494e+00
-9.219219219219218497e-02 3.945505358073698954e+00
-9.159159159159158126e-02 3.994786340171005534e+00
-9.099099099099097754e-02 4.043420946085205969e+00
-9.039039039039040158e-02 4.091370774375268304e+00
-8.978978978978979786e-02 4.138597606946477825e+00
-8.918918918918919414e-02 4.185063459198160807e+00
-8.858858858858859042e-02 4.230730630391800418e+00
-8.798798798798798670e-02 4.275561754147237714e+00
-8.738738738738738299e-02 4.319519848973387255e+00
-8.678678678678677927e-02 4.362568368738735991e+00
-8.618618618618617555e-02 4.404671252986032570e+00
-8.558558558558557183e-02 4.445792976994911605e+00
-8.498498498498499587e-02 4.485898601495777349e+00
-8.438438438438439215e-02 4.524953821938091814e+00
-8.378378378378378843e-02 4.562925017216252321e+00
-8.318318318318318472e-02 4.599779297756573015e+00
-8.258258258258258100e-02 4.635484552869420405e+00
-8.198198198198197728e-02 4.670009497271323973e+00
-8.138138138138137356e-02 4.703323716682945133e+00
-8.078078078078076985e-02 4.735397712410071236e+00
-8.018018018018016613e-02 4.766202944816282816e+00
-7.957957957957959017e-02 4.795711875597763907e+00
-7.897897897897898645e-02 4.823898008772691703e+00
-7.837837837837838273e-02 4.850735930299845400e+00
-7.777777777777777901e-02 4.876201346243627555e+00
-7.717717717717717529e-02 4.900271119405253728e+00
-7.657657657657657158e-02 4.922923304342884165e+00
-7.597597597597596786e-02 4.944137180706475121e+00
