xlin values
-1.144144144144144226e+00 2.013954551793017134e-01
-1.138138138138138133e+00 2.010678723839603443e-01
-1.132132132132132041e+00 2.007347087685713849e-01
-1.126126126126126170e+00 2.003964396978291096e-01
-1.120120120120120077e+00 2.000535454463190921e-01
-1.114114114114114207e+00 1.997065109658616722e-01
-1.108108108108108114e+00 1.993558256498637327e-01
-1.102102102102102021e+00 1.990019830948236701e-01
-1.096096096096096151e+00 1.986454808591322785e-01
-1.090090090090090058e+00 1.982868202193166229e-01
-1.084084084084084187e+00 1.979265059238735081e-01
-1.078078078078078095e+00 1.975650459448398122e-01
-1.072072072072072002e+00 1.972029512272485130e-01
-1.066066066066066131e+00 1.968407354366198680e-01
-1.060060060060060039e+00 1.964789147046371032e-01
-1.054054054054054168e+00 1.961180073731570439e-01
-1.048048048048048075e+00 1.957585337367069855e-01
-1.042042042042041983e+00 1.954010157836164607e-01
-1.036036036036036112e+00 1.950459769359375595e-01
-1.030030030030030019e+00 1.946939417883016554e-01
-1.024024024024024149e+00 1.943454358458658882e-01
-1.018018018018018056e+00 1.940009852614973940e-01
-1.012012012012011963e+00 1.936611165723467198e-01
-1.006006006006006093e+00 1.933263564359594122e-01
-1.000000000000000000e+00 1.929972313660742178e-01
-9.939939939939939073e-01 1.926742674682568324e-01
-9.879879879879878146e-01 1.923579901755158028e-01
-9.819819819819821660e-01 1.920489239840472429e-01
-9.759759759759760733e-01 1.917475921892538016e-01
-9.699699699699699806e-01 1.914545166221822137e-01
-9.639639639639638879e-01 1.911702173865220677e-01
-9.579579579579577953e-01 1.908952125963078728e-01
-9.519519519519521467e-01 1.906300181144651162e-01
-9.459459459459460540e-01 1.903751472923382870e-01
-9.399399399399399613e-01 1.901311107103392239e-01
-9.339339339339338686e-01 1.898984159198510990e-01
-9.279279279279277759e-01 1.896775671865214008e-01
-9.219219219219221273e-01 1.894690652350773941e-01
-9.159159159159160346e-01 1.892734069957932863e-01
-9.099099099099099419e-01 1.890910853527386914e-01
-9.039039039039038492e-01 1.889225888939330411e-01
-8.978978978978977565e-01 1.887684016635328144e-01
-8.918918918918921079e-01 1.886290029161716286e-01
-8.858858858858860152e-01 1.885048668735745392e-01
-8.798798798798799226e-01 1.883964624835647028e-01
-8.738738738738738299e-01 1.883042531815768972e-01
-8.678678678678677372e-01 1.882286966547928042e-01
-8.618618618618620886e-01 1.881702446090076086e-01
-8.558558558558559959e-01 1.881293425383376849e-01
-8.498498498498499032e-01 1.881064294978753437e-01
-8.438438438438438105e-01 1.881019378793941099e-01
-8.378378378378377178e-01 1.881162931902055080e-01
-8.318318318318320692e-01 1.881499138352680511e-01
-8.258258258258259765e-01 1.882032109026418598e-01
-8.198198198198198838e-01 1.882765879523848052e-01
-8.138138138138137911e-01 1.883704408089808824e-01
-8.078078078078076985e-01 1.884851573573885497e-01
-8.018018018018016058e-01 1.886211173427961296e-01
-7.957957957957959572e-01 1.887786921741665125e-01
-7.897897897897898645e-01 1.889582447316535130e-01
-7.837837837837837718e-01 1.891601291779660410e-01
-7.777777777777776791e-01 1.893846907737571361e-01
-7.717717717717715864e-01 1.896322656971105025e-01
-7.657657657657659378e-01 1.899031808671942378e-01
-7.597597597597598451e-01 1.901977537721502576e-01
-7.537537537537537524e-01 1.905162923012839737e-01
-7.477477477477476597e-01 1.908590945816168727e-01
-7.417417417417415670e-01 1.912264488188622491e-01
-7.357357357357359184e-01 1.916186331428813561e-01
-7.297297297297298257e-01 1.920359154576743999e-01
-7.237237237237237331e-01 1.924785532959590872e-01
-7.177177177177176404e-01 1.929467936783869630e-01
-7.117117117117115477e-01 1.934408729774441948e-01
-7.057057057057058991e-01 1.939610167860811307e-01
-6.996996996996998064e-01 1.945074397911153163e-01
-6.936936936936937137e-01 1.950803456514451639e-01
-6.876876876876876210e-01 1.956799268811140191e-01
-6.816816816816815283e-01 1.963063647372587650e-01
-6.756756756756758797e-01 1.969598291129761591e-01
-6.696696696696697870e-01 1.976404784351384336e-01
-6.636636636636636943e-01 1.983484595671843043e-01
-6.576576576576576016e-01 1.990839077169141991e-01
-6.516516516516515090e-01 1.998469463493116327e-01
-6.456456456456458604e-01 2.006376871044134036e-01
-6.396396396396397677e-01 2.014562297202479313e-01
-6.336336336336336750e-01 2.023026619608592758e-01
-6.276276276276275823e-01 2.031770595494318821e-01
-6.216216216216214896e-01 2.040794861065299282e-01
-6.156156156156158410e-01 2.050099930934625170e-01
-6.096096096096097483e-01 2.059686197607837888e-01
-6.036036036036036556e-01 2.069553931019351700e-01
-5.975975975975975629e-01 2.079703278120358656e-01
-5.915915915915914702e-01 2.090134262518251462e-01
-5.855855855855858216e-01 2.100846784167574866e-01
-5.795795795795797289e-01 2.111840619112511641e-01
-5.735735735735736363e-01 2.123115419280879324e-01
-5.675675675675675436e-01 2.134670712329614917e-01
-5.615615615615614509e-01 2.146505901541669592e-01
-5.555555555555553582e-01 2.158620265774273128e-01
-5.495495495495497096e-01 2.171012959458454850e-01
-5.435435435435436169e-01 2.183683012649739741e-01
-5.375375375375375242e-01 2.196629331129876794e-01
-5.315315315315314315e-01 2.209850696559494954e-01
-5.255255255255253388e-01 2.223345766681503743e-01
-5.195195195195196902e-01 2.237113075575097310e-01
-5.135135135135135975e-01 2.251151033960176739e-01
-5.075075075075075048e-01 2.265457929551971117e-01
-5.015015015015014122e-01 2.280031927465686059e-01
-4.954954954954953195e-01 2.294871070670926883e-01
-4.894894894894896709e-01 2.309973280495663528e-01
-4.834834834834835782e-01 2.325336357179496050e-01
-4.774774774774774855e-01 2.340957980475929512e-01
-4.714714714714713928e-01 2.356835710303407938e-01
-4.654654654654653001e-01 2.372966987444787845e-01
-4.594594594594596515e-01 2.389349134294964649e-01
-4.534534534534535588e-01 2.405979355656313878e-01
-4.474474474474474661e-01 2.422854739581624395e-01
-4.414414414414413734e-01 2.439972258264177518e-01
-4.354354354354352807e-01 2.457328768974606781e-01
-4.294294294294296321e-01 2.474921015044171391e-01
-4.234234234234235394e-01 2.492745626894061206e-01
-4.174174174174174468e-01 2.510799123110318831e-01
-4.114114114114113541e-01 2.529077911563997194e-01
-4.054054054054052614e-01 2.547578290576107407e-01
-3.993993993993996128e-01 2.566296450126930861e-01
-3.933933933933935201e-01 2.585228473109252301e-01
-3.873873873873874274e-01 2.604370336625041471e-01
-3.813813813813813347e-01 2.623717913325124274e-01
-3.753753753753752420e-01 2.643266972791361580e-01
-3.693693693693695934e-01 2.663013182960818903e-01
-3.633633633633635007e-01 2.682952111591448974e-01
-3.573573573573574080e-01 2.703079227768728776e-01
-3.513513513513513153e-01 2.723389903452758110e-01
-3.453453453453452227e-01 2.743879415065239580e-01
-3.393393393393395741e-01 2.764542945115803230e-01
-3.333333333333334814e-01 2.785375583867100158e-01
-3.273273273273273887e-01 2.806372331038067269e-01
-3.213213213213212960e-01 2.827528097544794727e-01
-3.153153153153152033e-01 2.848837707278372156e-01
-3.093093093093095547e-01 2.870295898919081878e-01
-3.033033033033034620e-01 2.891897327786342453e-01
-2.972972972972973693e-01 2.913636567723703608e-01
-2.912912912912912766e-01 2.935508113018295839e-01
-2.852852852852851839e-01 2.957506380354009146e-01
-2.792792792792790912e-01 2.979625710797753624e-01
-2.732732732732734426e-01 3.001860371818083073e-01
-2.672672672672673500e-01 3.024204559335497144e-01
-2.612612612612612573e-01 3.046652399803664313e-01
-2.552552552552551646e-01 3.069197952320867895e-01
-2.492492492492490719e-01 3.091835210770909059e-01
-2.432432432432434233e-01 3.114558105992704107e-01
-2.372372372372373306e-01 3.137360507977819402e-01
-2.312312312312312379e-01 3.160236228095131272e-01
-2.252252252252251452e-01 3.183179021341842607e-01
-2.192192192192190525e-01 3.206182588620030138e-01
-2.132132132132134039e-01 3.229240579037884196e-01
-2.072072072072073112e-01 3.252346592234846567e-01
-2.012012012012012185e-01 3.275494180729741633e-01
-1.951951951951951258e-01 3.298676852291086981e-01
-1.891891891891890332e-01 3.321888072328682551e-01
-1.831831831831833846e-01 3.345121266305602914e-01
-1.771771771771772919e-01 3.368369822169692829e-01
-1.711711711711711992e-01 3.391627092803637944e-01
-1.651651651651651065e-01 3.414886398492726904e-01
-1.591591591591590138e-01 3.438141029409323979e-01
-1.531531531531533652e-01 3.461384248113140716e-01
-1.471471471471472725e-01 3.484609292066339625e-01
-1.411411411411411798e-01 3.507809376162471793e-01
-1.351351351351350871e-01 3.530977695268323058e-01
-1.291291291291289944e-01 3.554107426777627365e-01
-1.231231231231233458e-01 3.577191733175675292e-01
-1.171171171171172531e-01 3.600223764613785793e-01
-1.111111111111111605e-01 3.623196661492630311e-01
-1.051051051051050678e-01 3.646103557053373412e-01
-9.909909909909897507e-02 3.668937579975588004e-01
-9.309309309309332647e-02 3.691691856980888753e-01
-8.708708708708723378e-02 3.714359515441238990e-01
-8.108108108108114109e-02 3.736933685990828646e-01
-7.507507507507504840e-02 3.759407505140483496e-01
-6.906906906906895571e-02 3.781774117893504372e-01
-6.306306306306330711e-02 3.804026680361830559e-01
-5.705705705705721442e-02 3.826158362381456568e-01
-5.105105105105112173e-02 3.848162350125963194e-01
-4.504504504504502904e-02 3.870031848717079281e-01
-3.903903903903893635e-02 3.891760084831133448e-01
-3.303303303303284366e-02 3.913340309300292752e-01
